Datetime,Depth (m),Pressure (Decibar),Temperature (Celsius),Conductivity (mS/cm),Salinity (PSU),Oxygen (%),Oxygen (mg/l),Fluorescence (mkg/l),Turbidity (FTU),Sigma (kg/m3),Sound velocity (m/s),Station,Cruise,Latitude,Longitude,Laboratory,Chief,Probe,Check date
2024-08-27T11:17:18,33.64,33.95,5.067,8.216,7.571,81.24,9.85,0.2,0.73,5.908,1436.35,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,33.81,34.12,5.054,8.211,7.569,81.58,9.89,0.17,0.83,5.906,1436.3,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,34.1,34.41,5.037,8.209,7.571,81.35,9.88,0.2,0.76,5.911,1436.23,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,34.42,34.73,5.014,8.202,7.569,81.04,9.85,0.17,0.94,5.911,1436.13,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,34.61,34.93,4.979,8.195,7.57,81.21,9.87,0.14,0.74,5.914,1435.98,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,34.84,35.16,4.961,8.194,7.573,80.92,9.84,0.18,0.99,5.918,1435.91,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,35.09,35.41,4.949,8.195,7.577,80.51,9.79,0.15,1.09,5.923,1435.86,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,35.33,35.65,4.944,8.194,7.577,80.24,9.75,0.18,1.26,5.925,1435.85,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,35.53,35.85,4.943,8.197,7.58,80.36,9.77,0.18,1.37,5.927,1435.85,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,35.77,36.1,4.943,8.194,7.577,80.26,9.76,0.2,1.35,5.927,1435.85,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,36.01,36.34,4.937,8.195,7.58,80.08,9.73,0.17,1.37,5.93,1435.83,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,36.2,36.53,4.932,8.195,7.581,80.12,9.74,0.17,1.37,5.932,1435.81,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,36.47,36.8,4.925,8.195,7.582,79.69,9.69,0.15,1.44,5.935,1435.79,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,36.68,37.02,4.918,8.199,7.588,79.51,9.67,0.15,1.39,5.94,1435.77,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,36.88,37.22,4.911,8.199,7.589,79.31,9.65,0.15,1.44,5.943,1435.74,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,37.11,37.45,4.91,8.2,7.591,78.88,9.6,0.16,1.59,5.945,1435.74,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,37.32,37.66,4.907,8.199,7.59,79.03,9.61,0.17,1.75,5.945,1435.73,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,37.41,37.75,4.916,8.197,7.586,78.95,9.6,0.15,1.86,5.943,1435.77,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,37.45,37.79,4.926,8.212,7.599,78.88,9.6,0.15,1.56,5.952,1435.83,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
